"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","AIR_VAL_YR","AIR_WGT_YR","CNT_VAL_YR","CNT_WGT_YR","CTY_CODE","CTY_NAME","PORT","PORT_NAME","E_COMMODITY","YEAR","COMM_LVL","time"
"2","114257828","3030975","316792025","18872492","-","TOTAL FOR ALL COUNTRIES","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"3","26835011","972155","91886507","4738326","0003","EUROPEAN UNION","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"4","47633162","815493","85763566","6289865","0014","PACIFIC RIM COUNTRIES","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"5","1362764","89732","7661824","470108","0017","CAFTA-DR","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"6","1800644","31550","0","0","0020","USMCA (NAFTA)","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"7","13208659","417328","62326789","3293983","0021","TWENTY LATIN AMERICAN REPUBLICS","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"8","71558112","1821739","167721753","9477624","0022","OECD","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"9","40064520","1345115","97137784","5730242","0023","NATO","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"10","11493891","318460","53769423","2803777","0024","LAFTA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"11","24744560","821351","90197673","4588733","0025","EURO AREA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"12","53521998","960445","105603302","7819850","0026","APEC","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"13","9115225","205863","32168860","2042341","0027","ASEAN","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"14","779880","62605","5286011","315383","0028","CACM","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"15","1491387","23223","0","0","1220","CANADA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"16","1800644","31550","0","0","1XXX","NORTH AMERICA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"17","309257","8327","0","0","2010","MEXICO","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"18","87524","2459","2826594","86464","2050","GUATEMALA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"19","3526","67","44250","868","2080","BELIZE","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"20","327439","6514","805682","27291","2110","EL SALVADOR","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"21","63977","1373","1012954","93394","2150","HONDURAS","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"22","98189","2898","0","0","2190","NICARAGUA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"23","202751","49361","640781","108234","2230","COSTA RICA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"24","352004","9136","884531","19858","2250","PANAMA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"25","0","0","39016","4077","2320","BERMUDA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"26","0","0","468739","28692","2410","JAMAICA","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"27","0","0","44250","9778","2440","CAYMAN ISLANDS","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"28","0","0","11011","240","2450","HAITI","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
"29","582884","27127","2375813","154725","2470","DOMINICAN REPUBLIC","-","TOTAL FOR ALL PORTS","13","2024","HS2","2024-12"
