"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","AIR_VAL_YR","AIR_WGT_YR","CNT_VAL_YR","CNT_WGT_YR","CTY_CODE","CTY_NAME","PORT","PORT_NAME","E_COMMODITY","YEAR","COMM_LVL","time"
"2","1632058","209067","6654898","1505964","1XXX","NORTH AMERICA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"3","96095","23670","6654898","1505964","2010","MEXICO","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"4","115453","16612","297523608","138283307","2050","GUATEMALA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"5","0","0","3663190","1159149","2080","BELIZE","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"6","5670","2371","85491579","27843028","2110","EL SALVADOR","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"7","0","0","177222968","68221591","2150","HONDURAS","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"8","0","0","80743334","33721786","2190","NICARAGUA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"9","26562","3843","116785061","38238607","2230","COSTA RICA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"10","309830","10525","103892195","35551827","2250","PANAMA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"11","0","0","23654335","5825970","2320","BERMUDA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"12","0","0","79055950","19820690","2360","BAHAMAS","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"13","0","0","270441200","202963637","2390","CUBA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"14","54325","4666","34557839","18431956","2410","JAMAICA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"15","0","0","22898181","6064674","2430","TURKS AND CAICOS ISLANDS","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"16","0","0","27530368","6123988","2440","CAYMAN ISLANDS","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"17","10658","719","72191678","63744602","2450","HAITI","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"18","85378","14826","441012150","146353346","2470","DOMINICAN REPUBLIC","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"19","0","0","2570905","538110","2481","ANGUILLA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"20","4500","140","6684658","1349492","2482","BRITISH VIRGIN ISLANDS","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"21","5308","396","7545571","2324335","2483","ST KITTS AND NEVIS","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"22","35900","1585","15277986","5267028","2484","ANTIGUA AND BARBUDA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"23","0","0","368273","175825","2485","MONTSERRAT","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"24","0","0","5240540","2447868","2486","DOMINICA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"25","13103","472","21599535","9626414","2487","ST LUCIA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"26","5275","300","12941382","6056805","2488","ST VINCENT AND THE GRENADINES","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"27","0","0","6188817","2203753","2489","GRENADA","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
"28","36776","16411","14246373","2907044","2720","BARBADOS","-","TOTAL FOR ALL PORTS","02","2024","HS2","2024-12"
