"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","AIR_VAL_YR","AIR_WGT_YR","CNT_VAL_YR","CNT_WGT_YR","CTY_CODE","CTY_NAME","PORT","PORT_NAME","E_COMMODITY","YEAR","COMM_LVL","time"
"2","38676418","2022673","139627843","17999646","0003","EUROPEAN UNION","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"3","45741482","3189723","205437380","35807791","0014","PACIFIC RIM COUNTRIES","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"4","22008880","2294922","86900355","16175345","0017","CAFTA-DR","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"5","3100907","84421","6981372","292604","0020","USMCA (NAFTA)","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"6","29386627","2769470","150086720","23519078","0021","TWENTY LATIN AMERICAN REPUBLICS","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"7","62722860","3156283","262795030","36888981","0022","OECD","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"8","45152590","2195778","151969107","20588931","0023","NATO","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"9","7312009","467827","62812993","7260829","0024","LAFTA","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"10","36261365","1894761","129465116","16477773","0025","EURO AREA","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"11","55061992","3450070","235036253","39257364","0026","APEC","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"12","14711441","795360","17546083","2639589","0027","ASEAN","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"13","11808391","799984","80432323","15591139","0028","CACM","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"14","1822416","55600","0","0","1220","CANADA","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
"15","3100907","84421","6981372","292604","1XXX","NORTH AMERICA","-","TOTAL FOR ALL PORTS","54","2024","HS2","2024-12"
