"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","AIR_VAL_YR","AIR_WGT_YR","CNT_VAL_YR","CNT_WGT_YR","CTY_CODE","CTY_NAME","PORT","PORT_NAME","I_COMMODITY","YEAR","COMM_LVL","time"
"2","0","0","1231264","236489","-","TOTAL FOR ALL COUNTRIES","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"3","0","0","16217","877","3510","BRAZIL","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"4","0","0","840000","220609","3570","ARGENTINA","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"5","0","0","48353","1959","4550","POLAND","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"6","0","0","92986","254","4759","ITALY","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"7","0","0","55380","232","4890","TURKEY","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"8","0","0","164838","11760","5330","INDIA","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"9","0","0","13490","798","5350","PAKISTAN","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"10","0","0","141339","2213","0003","EUROPEAN UNION","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"11","0","0","196719","2445","0022","OECD","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"12","0","0","196719","2445","0023","NATO","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"13","0","0","856217","221486","0024","LAFTA","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"14","0","0","92986","254","0025","EURO AREA","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"15","0","0","196719","2445","4XXX","EUROPE","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"16","0","0","178328","12558","5XXX","ASIA","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"17","0","0","856217","221486","0021","TWENTY LATIN AMERICAN REPUBLICS","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"18","0","0","856217","221486","3XXX","SOUTH AMERICA","1001","NEW YORK, NY","43","2024","HS2","2024-12"
"19","13531714","140909","9539981","589405","-","TOTAL FOR ALL COUNTRIES","1003","NEWARK, NJ","43","2024","HS2","2024-12"
